BLC_ID;BLC_NAME;K2_ID;K2_NAME;K3_ID;K3_NAME;K4_ID;K4_NAME;Znesek
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;700;Davki na dohodek in dobiček;7000;Dohodnina;899429305,7
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;700;Davki na dohodek in dobiček;7001;Davek od dohodkov pravnih oseb;427400000
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;700;Davki na dohodek in dobiček;7002;Drugi davki na dohodek in dobiček;3393815,92
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;701;Prispevki za socialno varnost;7010;Prispevki zaposlenih;26618458,65
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;701;Prispevki za socialno varnost;7011;Prispevki delodajalcev;20633991,26
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;701;Prispevki za socialno varnost;7012;Prispevki samozaposlenih;3117229,9
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;701;Prispevki za socialno varnost;7013;Ostali prispevki za socialno varnost;1921779,51
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;702;Davki na plačilno listo in delovno silo;7021;Posebni davek na določene prejemke;23619959,69
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;703;Davki na premoženje;7030;Davki na nepremičnine;192400000
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;703;Davki na premoženje;7031;Davki na premičnine;230000
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;703;Davki na premoženje;7033;Davki na promet nepremičnin in na finančno premoženje;1820000
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;704;Domači davki na blago in storitve;7040;Davek na dodano vrednost;3171019398
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;704;Domači davki na blago in storitve;7041;Drugi davki na blago in storitve;112426129
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;704;Domači davki na blago in storitve;7042;Trošarine (akcize);1576485128
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;704;Domači davki na blago in storitve;7044;Davki na posebne storitve;167459959,5
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;704;Domači davki na blago in storitve;7046;Letna dajatev za uporabo vozil v cestnem prometu;139631954,6
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;704;Domači davki na blago in storitve;7047;Drugi davki na uporabo blaga in storitev;44393143,04
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;704;Domači davki na blago in storitve;7048;Davki od prometa motornih vozil;26695482
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;705;Davki na mednarodno trgovino in transakcije;7050;Carine;84461904,66
A;Bilanca prihodkov in odhodkov;70;DAVČNI PRIHODKI;706;Drugi davki;7060;Drugi davki;15000000
A;Bilanca prihodkov in odhodkov;71;NEDAVČNI PRIHODKI;710;Udeležba na dobičku in dohodki od premoženja;7100;Prihodki od udeležbe na dobičku in dividend ter presežkov prihodkov nad odhodki;90000000
A;Bilanca prihodkov in odhodkov;71;NEDAVČNI PRIHODKI;710;Udeležba na dobičku in dohodki od premoženja;7102;Prihodki od obresti;4500000
A;Bilanca prihodkov in odhodkov;71;NEDAVČNI PRIHODKI;710;Udeležba na dobičku in dohodki od premoženja;7103;Prihodki od premoženja;105639617
A;Bilanca prihodkov in odhodkov;71;NEDAVČNI PRIHODKI;711;Takse in pristojbine;7110;Sodne takse;45404702
A;Bilanca prihodkov in odhodkov;71;NEDAVČNI PRIHODKI;711;Takse in pristojbine;7111;Upravne takse in pristojbine;34714457,97
A;Bilanca prihodkov in odhodkov;71;NEDAVČNI PRIHODKI;712;Globe in druge denarne kazni;7120;Globe in druge denarne kazni;69882228,83
