"","BLC_ID","BLC_NAME","K2_ID","K2_NAME","K3_ID","K3_NAME","K4_ID","K4_NAME","SPS2015","SPS2016","SPS2017","SPS2018","SPS2019"
"1","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",400,"Plaèe in drugi izdatki zaposlenim",4000,"Plaèe in dodatki",769499359.4,840207241.7,858634619,900964390.7,944374608
"2","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",400,"Plaèe in drugi izdatki zaposlenim",4001,"Regres za letni dopust",18347925.24,14549501.9,14609193.04,25757536.89,28541018.76
"3","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",400,"Plaèe in drugi izdatki zaposlenim",4002,"Povraèila in nadomestila",70575807.07,71833587.85,71880624.85,70558781.07,71824980.12
"4","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",400,"Plaèe in drugi izdatki zaposlenim",4003,"Sredstva za delovno uspešnost",2972739.34,2535158.87,2321416.22,3405433.88,3910914.35
"5","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",400,"Plaèe in drugi izdatki zaposlenim",4004,"Sredstva za nadurno delo",5019755.53,4915596.82,4825028.9,7692417.88,7609584.04
"6","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",400,"Plaèe in drugi izdatki zaposlenim",4005,"Plaèe za delo nerezidentov po pogodbi",2064.02,709,2809,878,804
"7","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",400,"Plaèe in drugi izdatki zaposlenim",4009,"Drugi izdatki zaposlenim",6202499.31,6590718.75,6879639.09,6976259.16,7633537.4
"8","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",401,"Prispevki delodajalcev za socialno varnost",4010,"Prispevek za pokojninsko in invalidsko zavarovanje",98430832.75,99667539.22,100794090.1,105135461.1,110555287
"9","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",401,"Prispevki delodajalcev za socialno varnost",4011,"Prispevek za zdravstveno zavarovanje",55582319.65,58759294.56,59684334.43,62252405.73,64554177.28
"10","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",401,"Prispevki delodajalcev za socialno varnost",4012,"Prispevek za zaposlovanje",529525.94,714495.39,690601.19,916317.09,911483.89
"11","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",401,"Prispevki delodajalcev za socialno varnost",4013,"Prispevek za starševsko varstvo",926463.32,1037831.84,1014741.75,1179347.82,1138061.68
"12","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",401,"Prispevki delodajalcev za socialno varnost",4015,"Premije kolektivnega dodatnega pokojninskega zavarovanja, na podlagi ZKDPZJU",11307871.94,4187915.38,3740545.03,3896228.45,6180018.23
"13","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",402,"Izdatki za blago in storitve",4020,"Pisarniški in splošni material in storitve",222554892.6,71661549.55,70969645.39,73811746.8,74034130.98
"14","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",402,"Izdatki za blago in storitve",4021,"Posebni material in storitve",102968617.8,105668865,105248916.2,117698403,172950975.5
"15","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",402,"Izdatki za blago in storitve",4022,"Energija, voda, komunalne storitve in komunikacije",62181728.36,55807028.73,57317125.57,56403324.33,56574286.01
"16","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",402,"Izdatki za blago in storitve",4023,"Prevozni stroški in storitve",37805241.59,33501816.72,34995788.54,42528096.77,42880053.42
