"TIME","GEO","SPDEPB","SPDEPM","UNIT","Value","Flag and Footnotes"
"2013","European Union - 28 countries","Total","Total","Million euro","1,766,079.73","p"
"2013","Bulgaria","Total","Total","Million euro","3,609.54",""
"2013","Czechia","Total","Total","Million euro","14,737.79",""
"2013","Estonia","Total","Total","Million euro","1,430.28",""
"2013","France","Total","Total","Million euro","318,689.58",""
"2013","Poland","Total","Total","Million euro","46,821.79",""
"2013","Romania","Total","Total","Million euro","11,962.69",""
"2013","Slovenia","Total","Total","Million euro","4,186.75",""
"2013","Slovakia","Total","Total","Million euro","6,248.80",""
"2014","European Union - 28 countries","Total","Total","Million euro","1,820,535.02","p"
"2014","Bulgaria","Total","Total","Million euro","3,757.71",""
"2014","Czechia","Total","Total","Million euro","14,052.21",""
"2014","Estonia","Total","Total","Million euro","1,509.91",""
"2014","France","Total","Total","Million euro","325,367.17",""
"2014","Poland","Total","Total","Million euro","48,353.76",""
"2014","Romania","Total","Total","Million euro","12,370.76",""
"2014","Slovenia","Total","Total","Million euro","4,199.67",""
"2014","Slovakia","Total","Total","Million euro","6,607.74",""
"2015","European Union - 28 countries","Total","Total","Million euro","1,896,372.09","p"
"2015","Bulgaria","Total","Total","Million euro","3,905.05",""
"2015","Czechia","Total","Total","Million euro","14,571.24",""
"2015","Estonia","Total","Total","Million euro","1,659.82",""
"2015","France","Total","Total","Million euro","331,043.67",""
"2015","Poland","Total","Total","Million euro","49,938.61",""
"2015","Romania","Total","Total","Million euro","12,978.81",""
"2015","Slovenia","Total","Total","Million euro","4,223.63",""
"2015","Slovakia","Total","Total","Million euro","6,793.08",""
"2016","European Union - 28 countries","Total","Total","Million euro","1,887,537.87","p"
"2016","Bulgaria","Total","Total","Million euro","4,051.42",""
"2016","Czechia","Total","Total","Million euro","14,897.35",""
"2016","Estonia","Total","Total","Million euro","1,719.49",""
"2016","France","Total","Total","Million euro","336,632.10",""
"2016","Poland","Total","Total","Million euro","48,739.09",""
"2016","Romania","Total","Total","Million euro","13,520.01",""
"2016","Slovenia","Total","Total","Million euro","4,276.97","p"
"2016","Slovakia","Total","Total","Million euro","6,884.48","p"
