"","BLC_I","BLC_NAME","NADSKUPINA_ID","NADSKUPINA_NAME","SPU_ID","SPU_NAME","PU_ID","PU_NAME","POL_ID","POL_NAME","PRG_ID","PRG_NAME","POD_ID","POD_NAME","SPP2015","SPP2016","SPP2017","SPP2018","SPP2019"
"1","A","Bilanca odhodkov",1,"NEVLADNI PRORAÈUNSKI UPORABNIKI",11,"PREDSEDNIK REPUBLIKE SLOVENIJE",1111,"Predsednik Republike Slovenije",1,"POLITIÈNI SISTEM",101,"Politièni sistem",10101,"Dejavnost predsednika Republike Slovenije",2287640.89,2253964.01,2285188.07,2288856,2489965
"2","A","Bilanca odhodkov",1,"NEVLADNI PRORAÈUNSKI UPORABNIKI",11,"PREDSEDNIK REPUBLIKE SLOVENIJE",1111,"Predsednik Republike Slovenije",1,"POLITIÈNI SISTEM",101,"Politièni sistem",10102,"Dejavnost bivšega predsednika Republike Slovenije",31200,30600,30600,22500,24001
"3","A","Bilanca odhodkov",1,"NEVLADNI PRORAÈUNSKI UPORABNIKI",121,"DRŽAVNI ZBOR",1211,"Državni zbor",1,"POLITIÈNI SISTEM",101,"Politièni sistem",10103,"Dejavnost državnega zbora",23852298,24353500,24308500,25172629.87,25778728
"4","A","Bilanca odhodkov",1,"NEVLADNI PRORAÈUNSKI UPORABNIKI",122,"DRŽAVNI SVET",1212,"Državni svet",1,"POLITIÈNI SISTEM",101,"Politièni sistem",10104,"Dejavnost državnega sveta",1855115,1855745,1897329,1903681,2149117
"5","A","Bilanca odhodkov",1,"NEVLADNI PRORAÈUNSKI UPORABNIKI",123,"DRŽAVNA VOLILNA KOMISIJA",1213,"Državna volilna komisija",1,"POLITIÈNI SISTEM",101,"Politièni sistem",10105,"Izvedba in nadzor volitev in referendumov",4881498,1568610.76,4116583.51,3924456.62,4172067
"6","A","Bilanca odhodkov",1,"NEVLADNI PRORAÈUNSKI UPORABNIKI",124,"VARUH ÈLOVEKOVIH PRAVIC",1214,"Varuh èlovekovih pravic",1,"POLITIÈNI SISTEM",102,"Varstvo ustavnosti, nadzor pravne države in èlovekovih pravic",10203,"Odprava in prepreèevanje kršitev èlovekovih pravic",1898118,1912669,1956060,1987391,2245049
"7","A","Bilanca odhodkov",1,"NEVLADNI PRORAÈUNSKI UPORABNIKI",124,"VARUH ÈLOVEKOVIH PRAVIC",1214,"Varuh èlovekovih pravic",1,"POLITIÈNI SISTEM",102,"Varstvo ustavnosti, nadzor pravne države in èlovekovih pravic",10206,"Izvajanje opcijskega sporazuma",127800,132164,136731,166400,172284.53
"8","A","Bilanca odhodkov",1,"NEVLADNI PRORAÈUNSKI UPORABNIKI",125,"INFORMACIJSKI POOBLAŠÈENEC",1215,"Informacijski pooblašèenec",1,"POLITIÈNI SISTEM",102,"Varstvo ustavnosti, nadzor pravne države in èlovekovih pravic",10205,"Dostop do informacij javnega znaèaja in varstvo osebnih podatkov",1219743.72,1413749.02,1355250.55,1504720.76,1977420.97
"9","A","Bilanca odhodkov",1,"NEVLADNI PRORAÈUNSKI UPORABNIKI",127,"NACIONALNA AGENCIJA RS ZA KAKOVOST V VISOKEM ŠOLSTVU",1217,"Nacionalna agencija RS za kakovost v visokem šolstvu",19,"IZOBRAŽEVANJE IN ŠPORT",1905,"Višje in visokošolsko izobraževanje",190503,"Spodbujanje kakovosti v visokem šolstvu",1655450.38,1221863.65,1178071.65,1235484,1294127.26
"10","A","Bilanca odhodkov",1,"NEVLADNI PRORAÈUNSKI UPORABNIKI",131,"USTAVNO SODIŠÈE",1311,"Ustavno sodišèe",1,"POLITIÈNI SISTEM",102,"Varstvo ustavnosti, nadzor pravne države in èlovekovih pravic",10202,"Dejavnost ustavnega sodišèa",3766196,4132730,3967450,4227860,4544289.51
"11","A","Bilanca odhodkov",1,"NEVLADNI PRORAÈUNSKI UPORABNIKI",132,"RAÈUNSKO SODIŠÈE",1312,"Raèunsko sodišèe",2,"EKONOMSKA IN JAVNOFINANÈNA POLITIKA",203,"Fiskalni nadzor",20301,"Dejavnost raèunskega sodišèa",5636685,5327338,5423921,5773921,6075721
"12","A","Bilanca odhodkov",1,"NEVLADNI PRORAÈUNSKI UPORABNIKI",134,"DRŽAVNA REVIZIJSKA KOMISIJA",1314,"Državna revizijska komisija",2,"EKONOMSKA IN JAVNOFINANÈNA POLITIKA",203,"Fiskalni nadzor",20302,"Pravno varstvo in nadzor v postopkih oddaje javnih naroèil",1224985.89,1179836.47,1194087.42,1194087.42,1715561.14
"13","A","Bilanca odhodkov",1,"NEVLADNI PRORAÈUNSKI UPORABNIKI",135,"KOMISIJA ZA PREPREÈEVANJE KORUPCIJE",1315,"Komisija za prepreèevanje korupcije",1,"POLITIÈNI SISTEM",102,"Varstvo ustavnosti, nadzor pravne države in èlovekovih pravic",10204,"Odprava in prepreèevanje koruptivnih dejanj",1626500,1703169,1716340,1716340,1773602
"14","A","Bilanca odhodkov",1,"NEVLADNI PRORAÈUNSKI UPORABNIKI",39,"SLOVENSKA AKADEMIJA ZNANOSTI IN UMETNOSTI",3911,"Slovenska akademija znanosti in umetnosti",5,"ZNANOST IN INFORMACIJSKA DRUŽBA",502,"Znanstveno raziskovalna dejavnost",50203,"Znanstveno raziskovalna dejavnost Slovenske akademije znanosti in umetnosti",321000,221000,216000,221955,222523
"15","A","Bilanca odhodkov",1,"NEVLADNI PRORAÈUNSKI UPORABNIKI",39,"SLOVENSKA AKADEMIJA ZNANOSTI IN UMETNOSTI",3911,"Slovenska akademija znanosti in umetnosti",5,"ZNANOST IN INFORMACIJSKA DRUŽBA",503,"Èloveški viri v podporo znanosti",50301,"Podporna dejavnost Slovenske akademije znanosti in umetnosti",1359044,1427568.17,1423185,1443977,1629724.59
"16","A","Bilanca odhodkov",1,"NEVLADNI PRORAÈUNSKI UPORABNIKI",39,"SLOVENSKA AKADEMIJA ZNANOSTI IN UMETNOSTI",3911,"Slovenska akademija znanosti in umetnosti",5,"ZNANOST IN INFORMACIJSKA DRUŽBA",503,"Èloveški viri v podporo znanosti",50304,"Èlanske nagrade akademikom",1620000,1170401,1164527,1200470,1228000
"17","A","Bilanca odhodkov",2,"VLADNI PRORAÈUNSKI UPORABNIKI",14,"KABINET PREDSEDNIKA VLADE",1411,"Kabinet predsednika vlade",1,"POLITIÈNI SISTEM",103,"Podpora delovanju vlade",10301,"Delovanje predsednika vlade",1368692,1225391,1223723,1352907,1330983
"18","A","Bilanca odhodkov",2,"VLADNI PRORAÈUNSKI UPORABNIKI",15,"VLADNE SLUŽBE",1511,"Generalni sekretariat vlade",1,"POLITIÈNI SISTEM",101,"Politièni sistem",10106,"Sofinanciranje strank",2732000,NA,NA,NA,2e+05
"19","A","Bilanca odhodkov",2,"VLADNI PRORAÈUNSKI UPORABNIKI",15,"VLADNE SLUŽBE",1511,"Generalni sekretariat vlade",1,"POLITIÈNI SISTEM",103,"Podpora delovanju vlade",10302,"Delovanje vlade",5240871,5742361,5332269,5630094.19,5668851
"20","A","Bilanca odhodkov",2,"VLADNI PRORAÈUNSKI UPORABNIKI",15,"VLADNE SLUŽBE",1511,"Generalni sekretariat vlade",1,"POLITIÈNI SISTEM",103,"Podpora delovanju vlade",10303,"Delo strokovnih svetov vlade",10000,4200,4200,4200,4200
"21","A","Bilanca odhodkov",2,"VLADNI PRORAÈUNSKI UPORABNIKI",15,"VLADNE SLUŽBE",1511,"Generalni sekretariat vlade",1,"POLITIÈNI SISTEM",103,"Podpora delovanju vlade",10304,"Izvedba protokolarnih dogodkov",4200000,3760000,3723000,3720000,3720000
"22","A","Bilanca odhodkov",2,"VLADNI PRORAÈUNSKI UPORABNIKI",15,"VLADNE SLUŽBE",1512,"Protokol v vladi Republike Slovenije",1,"POLITIÈNI SISTEM",103,"Podpora delovanju vlade",10304,"Izvedba protokolarnih dogodkov",1328502,1234250,1234152,1183027,1233027
"23","A","Bilanca odhodkov",2,"VLADNI PRORAÈUNSKI UPORABNIKI",15,"VLADNE SLUŽBE",1518,"Urad vlade za komuniciranje",1,"POLITIÈNI SISTEM",103,"Podpora delovanju vlade",10305,"Komuniciranje z domaèimi in tujimi javnostmi",4673413,4524536,4412689,4254000,4354000
