"","BLC_ID","BLC_NAME","K2_ID","K2_NAME","K3_ID","K3_NAME","K4_ID","K4_NAME","SPS2015","SPS2016","pro_2016","SPS2017","pro_2017","SPS2018","pro_2018","SPS2019","pro_2019"
"1","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",700,"Davki na dohodek in dobièek",7000,"Dohodnina",899429305.7,977454322.9,8.67,998142991.2,2.12000000000001,1008932013,1.07999999999999,1224245222,21.34
"2","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",700,"Davki na dohodek in dobièek",7001,"Davek od dohodkov pravnih oseb",427400000,558786999.9,30.74,578109397.2,3.46,709895392.1,22.8,857618712.1,20.81
"3","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",700,"Davki na dohodek in dobièek",7002,"Drugi davki na dohodek in dobièek",3393815.92,2138798,-36.98,2138798,0,3863935,80.66,5863497,51.75
"4","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",701,"Prispevki za socialno varnost",7010,"Prispevki zaposlenih",26618458.65,32952733.65,23.8,34007221.13,3.2,34878052.89,2.56000000000001,38288187.61,9.78000000000001
"5","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",701,"Prispevki za socialno varnost",7011,"Prispevki delodajalcev",20633991.26,23309360.23,12.97,24055259.76,3.2,25975141.02,7.98000000000001,28851667.86,11.07
"6","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",701,"Prispevki za socialno varnost",7012,"Prispevki samozaposlenih",3117229.9,3256645.1,4.47,3360857.74,3.2,3648804.917,8.57000000000001,3988782.46,9.31999999999999
"7","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",701,"Prispevki za socialno varnost",7013,"Ostali prispevki za socialno varnost",1921779.51,1370511.81,-28.69,1414368.19,3.2,1302353,-7.92000000000001,1295752,-0.509999999999999
"8","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",702,"Davki na plaèilno listo in delovno silo",7021,"Posebni davek na doloèene prejemke",23619959.69,19041136,-19.39,19041136,0,20323471,6.72999999999999,22763454.45,12.01
"9","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",703,"Davki na premoženje",7030,"Davki na nepremiènine",192400000,NA,NA,NA,NA,0,NA,NA,NA
"10","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",703,"Davki na premoženje",7031,"Davki na premiènine",230000,184967,-19.58,184967,0,196835,6.42,31560,-83.97
"11","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",703,"Davki na premoženje",7033,"Davki na promet nepremiènin in na finanèno premoženje",1820000,80000,-95.6,80000,0,73795,-7.76,61749,-16.32
"12","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",704,"Domaèi davki na blago in storitve",7040,"Davek na dodano vrednost",3171019398,3371986295,6.33999999999999,3506428497,3.99,3581402093,2.14000000000001,3759605090,4.98000000000001
"13","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",704,"Domaèi davki na blago in storitve",7041,"Drugi davki na blago in storitve",112426129,123821733.1,10.14,123821733.1,0,132608055.7,7.1,140885121.4,6.24
"14","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",704,"Domaèi davki na blago in storitve",7042,"Trošarine (akcize)",1576485128,1517084063,-3.77,1526383797,0.609999999999999,1528990111,0.170000000000003,1592858909,4.18000000000001
"15","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",704,"Domaèi davki na blago in storitve",7044,"Davki na posebne storitve",167459959.5,209910613.2,25.35,212849361.8,1.4,210770206.7,-0.980000000000003,219622821.7,4.2
"16","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",704,"Domaèi davki na blago in storitve",7046,"Letna dajatev za uporabo vozil v cestnem prometu",139631954.6,161142701,15.41,163188699,1.26999999999999,153068944.1,-6.20000000000001,158087327.4,3.27999999999999
"17","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",704,"Domaèi davki na blago in storitve",7047,"Drugi davki na uporabo blaga in storitev",44393143.04,45857091.95,3.29999999999999,47470916.24,3.51999999999999,50151067.04,5.65,47386794.24,-5.51
"18","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",704,"Domaèi davki na blago in storitve",7048,"Davki od prometa motornih vozil",26695482,31954296.53,19.7,32401656.68,1.4,28584377.98,-11.78,37073881.38,29.7
"19","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",705,"Davki na mednarodno trgovino in transakcije",7050,"Carine",84461904.66,88465413.89,4.74000000000001,94038734.97,6.29999999999999,95275490.39,1.32000000000001,89624389.27,-5.93
"20","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",706,"Drugi davki",7060,"Drugi davki",1.5e+07,NA,NA,NA,NA,NA,NA,NA,NA
"21","A","Bilanca prihodkov in odhodkov",71,"NEDAVÈNI PRIHODKI",710,"Udeležba na dobièku in dohodki od premoženja",7100,"Prihodki od udeležbe na dobièku in dividend ter presežkov prihodkov nad odhodki",9e+07,110623060,22.91,98073360,-11.34,112527683.6,14.74,231338375,105.58
"22","A","Bilanca prihodkov in odhodkov",71,"NEDAVÈNI PRIHODKI",710,"Udeležba na dobièku in dohodki od premoženja",7102,"Prihodki od obresti",4500000,12502026.95,177.82,8300000,-33.61,11505000,38.61,11335610,-1.47
"23","A","Bilanca prihodkov in odhodkov",71,"NEDAVÈNI PRIHODKI",710,"Udeležba na dobièku in dohodki od premoženja",7103,"Prihodki od premoženja",105639617,102222063.7,-3.24,97477769.31,-4.64,96729238.32,-0.770000000000004,94961200.44,-1.83
"24","A","Bilanca prihodkov in odhodkov",71,"NEDAVÈNI PRIHODKI",711,"Takse in pristojbine",7110,"Sodne takse",45404702,37051936.99,-18.4,37570664.11,1.4,35649858.32,-5.11,33922607.1,-4.85
"25","A","Bilanca prihodkov in odhodkov",71,"NEDAVÈNI PRIHODKI",711,"Takse in pristojbine",7111,"Upravne takse in pristojbine",34714457.97,31655020.77,-8.81,32698191.06,3.29999999999999,31181550.31,-4.64,35889330.41,15.1
"26","A","Bilanca prihodkov in odhodkov",71,"NEDAVÈNI PRIHODKI",712,"Globe in druge denarne kazni",7120,"Globe in druge denarne kazni",69882228.83,74918090.95,7.21000000000001,75966944.23,1.4,72592800.02,-4.44,87195405.84,20.12
"27","A","Bilanca prihodkov in odhodkov",71,"NEDAVÈNI PRIHODKI",713,"Prihodki od prodaje blaga in storitev",7130,"Prihodki od prodaje blaga in storitev",9478516.52,8747197.36,-7.72,8869658.12,1.4,9533676.89,7.49,9232772.76,-3.16
"28","A","Bilanca prihodkov in odhodkov",71,"NEDAVÈNI PRIHODKI",714,"Drugi nedavèni prihodki",7141,"Drugi nedavèni prihodki",107303503.4,101094912.9,-5.79,96929667.03,-4.12,97886352.33,0.990000000000002,73685880.89,-24.72
